[PORT] Open: demo.testfire.net:25
[PORT] Open: demo.testfire.net:53
[PORT] Open: demo.testfire.net:80
[PORT] Open: demo.testfire.net:443
[PORT] Open: demo.testfire.net:8080
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_trainee.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_about.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_insurance.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20061109.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_trainee.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_lending.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20061109.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_other.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/subscribe.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/subscribe.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_loans.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/subscribe.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/feedback.jsp
[FORM XSS] Possible: http://demo.testfire.net/feedback.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/high_yield_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_investor.htm
[FORM XSS] Possible: http://demo.testfire.net/high_yield_investments.htm
